District,Geograpical Area (Sq.Kms),Population Density,Male,Female, Total,Percentage Share to Total Population,Rank
Chikkodi,851,419,181619,174525,356144,7.45,6
Athani,1554,240,190310,182265,372575,7.8,5
Raibag,952,426,207142,198347,405489,8.48,2
Gokak,1146,348,200104,198288,398392,8.34,4
Hukkeri,987,405,200490,198780,399270,8.35,3
Belagavi,1032,928,486704,470669,957373,20.03,1
Khanapur,1742,148,130598,127491,258089,5.4,11
Savadatti,1578,224,178755,174174,352929,7.38,7
Bailhongal,760,380,145681,143187,288868,6.04,9
Ramadurg,1225,211,130910,127617,258527,5.41,10
Kitthuru,360,256,46781,45540,92321,1.93,14
Nippani,412,662,138178,134478,272656,5.7,8
Kagavada,437,351,78269,74988,153257,3.21,13
Mudalagi,397,538,107522,106249,213771,4.47,12
Jamakhandi,882,307,132591,131380,263971,13.97,3
Bilagi,781,206,80147,80147,160294,8.48,7
Mudhol,859,287,124999,125194,250193,13.24,4
Badami,1069,227,121871,119544,241415,12.77,5
Bagalkote,935,307,143220,141894,285114,15.09,1
Hungund,733,218,77228,75981,153209,8.11,8
Guledagudda,316,275,44877,44568,89445,4.73,9
Ilkal,626,258,84513,83616,168129,8.9,6
Rabakavi Banahatti,351,732,140665,137317,277982,14.71,2
Bijapur,972,489,237074,229570,466644,21.43,1
Indi,1604,195,154847,144611,299458,13.75,2
Sindagi,1444,196,142115,134121,276236,12.68,3
Basavan Bagewadi,1297,165,86579,84126,170705,7.84,5
Muddebihal,1030,194,90307,89025,179332,8.24,4
Nidagundi,399,231,44111,43027,87138,4,11
Babaleshwara,961,155,65162,63747,128909,5.92,7
Chadachana,611,176,62816,58895,121711,5.59,9
Talikote,464,182,66527,65625,132152,6.7,6
Tikota,715,146,64943,60579,125522,5.76,8
Kolhara,277,185,41514,40074,81588,3.75,12
Devara Hipparagi,724,150,55027,52909,107936,4.95,10
Aland,1574,198,161892,152409,314301,12.25,2
Afzalpur,1307,168,113057,107282,220339,8.59,4
Gulbarga,1250,589,375771,361616,737387,28.73,1
Chincholi,1267,168,105639,104204,209843,8.18,6
Sedam,1021,213,108598,109974,218572,8.5,7
Chittapur,726,226,121832,121155,242987,9.47,3
Jevargi,1028,166,90625,88475,179100,6.98,7
Kalagi,1063,153,54710,55324,110034,4.29,10
Kamalapura,700,183,65445,62738,128183,4.99,8
Yadrami,798,155,60270,57533,117803,4.59,9
Shahbadha,220,411,43916,43861,87777,3.42,11
Basavakalyan,992,309,156666,149953,306619,17.32,1
Bhalki,1119,248,141603,135747,277350,16.28,5
Aurad,758,228,88378,84669,173047,10.16,2
Bidar,908,507,241095,228846,469941,27.59,1
Humnabad,642,314,102835,98458,201293,11.82,2
Chittaguppa,340,385,66600,64469,131069,7.7,2
Kamalanagara,475,222,53931,51422,105353,6.19,2
Hulasuru,214,180,19557,19071,38628,2.95,1
Lingasugur,1284,207,152049,149590,301639,15.64,3
Devdurga,1504,186,140165,140441,280606,14.55,4
Raichur,1546,318,249556,249081,498637,25.85,1
Manvi,1020,231,89034,90356,179390,9.3,6
Sindhanur,1273,265,166909,167730,334639,17.35,2
Maski,937,165,96188,95647,191835,9.94,5
Sirivara,878,191,70610,71456,142066,7.37,7
Yelburga,874,179,79331,77485,156816,11.26,5
Kushtagi,1355,210,144227,140565,284792,20.46,3
Gangavathi,436,553,120079,120864,240943,17.33,3
Koppal,1364,277,190907,186874,377781,27.18,2
Karatagi,392,322,62907,63490,126397,9.09,4
Kukanuru,657,168,55834,54792,110626,7.95,6
Kanakagiri,492,188,46641,45924,92565,6.66,7
Naragund,436,231,51276,49347,100623,9.45,6
Rona,977,156,76478,76153,152631,14.34,2
Gadag,1092,336,184572,182686,367258,34.5,1
Shirahatti,514,177,46286,44616,90902,8.54,7
Mundargi,891,148,66856,65041,131897,12.39,3
Gajendragad,315,354,56088,55404,111492,10.47,4
Laxmeshwar,432,254,55591,54176,109767,10.31,5
Dharwad,963,527,259873,252741,512614,27.75,2
Navalgund,691,167,59402,56515,115917,6.28,6
Hubli,623,226,72980,69827,142807,7.73,5
Kalgatgi,684,227,79733,74926,154659,8.37,4
Kundgol,648,256,84806,80762,165568,8.96,3
Hubballi Nagara,142,5082,324793,320730,645523,34.96,1
Alnavara,123,289,18079,17565,35644,1.93,8
Annigeri,386,192,37540,36751,74291,4.02,7
Karwar,745,208,78248,76965,155213,10.8,4
Joida,1882,28,26167,25845,52012,3.62,12
Haliyal,560,188,53414,51739,105153,7.31,8
Yellapur,1313,60,39813,38849,78662,5.47,10
Mundgod,676,157,57490,48684,106174,7.39,7
Sirsi,1319,142,93902,93006,186908,13.01,1
Ankola,930,115,53961,53371,107332,7.47,6
Kumta,589,262,77704,76576,154280,10.73,5
Siddapur,865,113,48221,49101,97322,6.77,9
Honnavar,754,221,83196,83068,166264,11.57,2
Bhatkal,351,460,80753,80823,161576,11.24,3
Dandelli,293,226,33387,32886,66273,4.61,11
Shiggaon,584,322,96735,91175,187910,11.8,4
Savanur,537,301,83150,78371,161521,10.1,5
Hangal,770,338,133171,127284,260455,16.3,3
Haveri,797,352,143600,136762,280362,17.6,2
Byadagi,433,326,72143,68881,141024,8.8,6
Hirekerur,385,312,61417,58723,120140,7.52,7
Ranebennur,901,372,172010,163271,335281,20.98,1
Ratteehalli,416,267,56902,54073,110975,6.9,8
Hadagali,948,206,98853,96366,195219,7,7
Hagaribommanahalli,950,186,89684,87454,177138,6,8
Hospet,656,548,179287,179980,359267,13,2
Siraguppa,1040,259,134246,134858,269104,10,4
Ballari,1142,554,318930,314116,633046,23,1
Sonduru,1245,209,134034,126179,260213,9,5
Kudligi,1402,159,113429,109144,222573,8,6
Kurugodu,470,247,58159,58231,116390,4,10
Kotturu,253,386,49626,47802,97428,4,11
Kampli,355,345,60706,61511,122217,4,9
Harapanahalli,1435,210,154289,147714,302003,11,3
Molakalmuru,739,191,72049,69235,141284,8.51,6
Challakere,2074,176,185931,179853,365784,22.04,2
Chitradurga,1383,306,214563,209316,423879,25.5,1
Holalkere,1099,188,104992,102268,207260,12.49,5
Hosadurga,1438,163,119148,115968,235116,14.17,4
Hiriyur,1703,168,144160,141973,286133,17.2,3
Harihar,485,524,129336,124834,254170,15,3
Jagaluru,970,177,86981,84841,171822,10,4
Davanagere,958,712,344759,337220,681979,41,1
Honnali,494,269,71586,72457,144043,9,5
Channagiri,1210,249,152883,149434,302317,18,2
Nyamati,372,258,46566,42597,89163,7,6
Sagara,1935,107,102273,104046,206319,11.77,4
Soraba,1150,175,101130,99679,200809,11.46,5
Shikaripura,911,262,120487,117742,238229,13.6,3
Hosanagar,1428,83,58508,59712,118220,6.74,7
Thirthahalli,1254,113,69882,72124,142006,8.1,6
Shimoga,1114,455,255262,252062,507324,28.94,1
Bhadravathi,686,495,169873,169973,339846,19.39,2
Kundapur,887,296,123458,138972,262430,22.29,1
Udupi,310,818,124329,129346,253675,21.55,2
Karkala,721,250,86179,94249,180428,15.32,3
Bynduru,583,214,58936,66105,125041,10.62,6
Bramhavara,398,437,83030,91042,174072,14.79,4
Kapu,220,614,63595,71457,135052,11.47,5
Hebri,463,101,22604,24059,46663,3.96,7
Sringeri,444,82,18030,18509,36539,3.21,8
Koppa,566,150,41746,43136,84882,7.46,6
Narasimharajapura,803,82,32449,33641,66090,5.81,7
Tarikere,840,171,71598,71828,143426,12.6,3
Kadur,1262,215,135952,135036,270988,23.81,2
Chikmagalur,1592,192,151921,153447,305368,26.83,1
Mudigere,1155,111,63102,65032,128134,11.26,4
Ajjampura,540,190,51824,50710,102534,9.01,5
Chiknayakanahalli,1128,188,105583,106547,212130,7.91,4
Sira,1553,202,158978,154780,313758,11.71,2
Pavagada,1361,180,123680,121514,245194,9.15,6
Madhugiri,1113,240,134670,133196,267866,10,3
Koratagere,647,259,84349,83242,167591,6.25,10
Tumkur,1028,576,303197,289200,592397,22.11,1
Gubbi,1221,215,132102,130416,262518,9.79,5
Tiptur,784,284,111282,111467,222749,8.31,8
Turuvekere,781,216,83950,85044,168994,6.3,9
Kunigal,981,230,112803,112980,225783,8.42,7
Srinivaspura,863,294,102075,100229,202304,13.17,5
Kolar,792,487,195129,190281,385410,25.09,1
Malur,643,368,121083,115837,236920,15.42,4
Bangarpet,482,514,100132,98945,199077,12.8,2
Mulabagilu,821,315,130488,128447,258935,16.85,3
K.G.F,378,567,127489,126266,253755,16.66,6
Bangalore (North),650,725,2438383,2275047,4713430,50.81,1
Bangalore-South,457,601,1257085,1151076,2408161,25.03,2
Anekal,530,977,282006,235569,517575,5.38,5
Bangalore-East,172,792,703462,629510,1332972,13.85,3
Yelahanka,387,1286,341725,307688,649413,4.92,4
Nelamangala,507,414,107504,103385,210889,21.29,3
Doddaballapura,797,377,153527,146067,299594,30.23,1
Devanahalli,446,466,107842,101780,209622,21.15,4
Hoskote,548,496,140299,130519,270818,27.33,2
Krishnarajpet,896,291,130241,130238,260479,14.42,4
Nagamangala,1034,182,93682,94215,187897,10.41,5
Pandavpura,528,347,92038,91314,183352,10.15,6
Srirangapatna,368,490,89940,90251,180191,9.98,7
Mandya,713,582,208607,206546,415153,22.99,1
Maddur,614,481,147879,147553,295432,16.36,2
Malavalli,809,350,142698,140567,283265,15.69,3
Sakleshpura,1027,125,63126,65507,128633,7.24,8
Belur,845,219,91306,93152,184458,10.38,6
Arsikere,1265,249,157728,157611,315339,17.8,2
Hassan,933,423,197116,199050,396166,22.3,1
Alur,430,199,42253,43002,85255,4.79,7
Arkalgud,675,305,102297,102288,204585,11.51,4
Holenarasipura,595,304,91565,90622,182187,10.25,3
Channarayapatna,1044,268,138276,141522,279798,15.75,5
Mangalore,618,1570,439075,450151,889226,42.55,1
Bantwal,740,536,196708,198672,395380,18.92,2
Belthangady,1382,195,131967,134622,266589,12.76,3
Puttur,403,441,92249,93236,185485,8.87,4
Sulya,702,177,63126,64510,127636,6.1,5
Mudabidri,294,355,51722,53654,105376,5.04,7
Kadaba,722,163,59867,60090,119957,5.7,6
Madikeri,1445,90,72966,73617,146583,26.4,3
Somawarpet,1003,209,101888,104617,206505,37.3,1
Virajpet,1654,124,99754,101677,201431,36.3,2
Piriyapatna,812,301,124755,118321,243076,8.1,6
Hunsur,898,316,142946,140017,282963,9.43,4
K.R.Nagar,608,416,126539,126118,252657,8.42,5
Mysuru,797,1581,645316,636452,1281768,42.71,1
Heggadadevanakote,1116,171,90651,88665,179316,5.97,7
Nanjangud,974,394,193038,191884,384922,12.83,2
T.Narasipura,600,488,146258,145777,292035,9.73,3
Saraguru,502,149,42097,42293,84390,2.81,8
Gundlupet,1372,163,111109,111961,223070,21.85,2
Chamarajanagara,1220,293,178555,179244,357799,35.05,1
Yalandur,267,307,41179,40890,82069,8.04,5
Kollegala,2551,94,93219,92792,186011,18.6,3
Kollegala(Hanur),238,34,88169,83673,171842,17.18,4
Gauribidanur,889,326,147049,143950,290999,23.19,2
Chikballapur,638,330,108854,103682,212536,16.93,4
Gudibande,227,246,28078,27754,55832,4.45,6
Bagepalli,929,197,92905,90593,183498,14.12,5
Shidlagatta,670,323,108937,105232,214169,17.06,3
Chinthamani,891,334,150614,147456,298070,23.75,1
Magadi,795,257,102582,101259,203841,18.83,4
Ramanagar,629,424,136446,130168,266614,24.63,2
Channapatna,539,485,130408,130896,261304,24.14,3
Kanakpura,1553,226,178572,172305,350877,32.41,1
Yadgir,1027,248,127378,127719,255097,22,2
Shahapur,1002,253,128414,125455,253869,22,1
Shorapur,1014,249,126942,125391,252333,21,3
Gurumithakala,697,206,71320,71942,143262,12,5
Vadagera,704,156,55044,54708,109752,9,3
Hunisigi,826,194,81231,78727,159958,14,4
State Total,191791,319,30966657,30128640,61095297,100,NA
